Cultivar	Espacamento	Adubacao	Rep	Prod	Nfrut	LargFruto	CompFruto	DAP
Cult1	Espac1	NPk	1	5	410	13	12	40.8
Cult1	Espac1	NPk	2	5.75	465	10.6	9.6	42.2
Cult1	Espac1	NPk	3	6.75	546	15.4	12.4	51.68
Cult1	Espac1	NPk	4	9.75	787	17.8	15.8	72.96
Cult2	Espac1	NPk	1	8.75	705	13	17	65.4
Cult2	Espac1	NPk	2	11.75	946	19.4	17.4	84.68
Cult2	Espac1	NPk	3	10.25	828	18.2	14.2	73.24
Cult2	Espac1	NPk	4	12.75	1029	16.2	19.2	90.32
Cult1	Espac2	NPk	1	5.5	445	9.4	10.4	43.6
Cult1	Espac2	NPk	2	8.25	665	11.6	14.6	61.2
Cult1	Espac2	NPk	3	8.5	690	11.8	15.8	65.2
Cult1	Espac2	NPk	4	8	648	16.4	12.4	56.84
Cult2	Espac2	NPk	1	9.25	749	12.4	12.4	66.92
Cult2	Espac2	NPk	2	11.5	929	17.2	16.2	79.32
Cult2	Espac2	NPk	3	13.75	1105	17	17	94.4
Cult2	Espac2	NPk	4	15	1210	19	19	102.8
Cult1	Espac3	NPk	1	9.75	785	15.8	14.8	69.8
Cult1	Espac3	NPk	2	10.75	866	13.6	17.6	76.28
Cult1	Espac3	NPk	3	11.75	950	14.4	19.4	83
Cult1	Espac3	NPk	4	12.5	1007	16	16	86.56
Cult2	Espac3	NPk	1	14.5	1168	20.6	18.6	98.44
Cult2	Espac3	NPk	2	12.75	1026	19.2	16.2	87.08
Cult2	Espac3	NPk	3	15.75	1266	21.6	18.6	109.28
Cult2	Espac3	NPk	4	8	648	16.4	11.4	60.84
Cult1	Espac4	NPk	1	11.5	927	19.2	17.2	82.16
Cult1	Espac4	NPk	2	12.25	986	15.8	17.8	83.88
Cult1	Espac4	NPk	3	16.25	1310	22	19	110.8
Cult1	Espac4	NPk	4	15.25	1227	20.2	18.2	107.16
Cult2	Espac4	NPk	1	9.5	765	16.6	15.6	71.2
Cult2	Espac4	NPk	2	12	966	14.6	19.6	86.28
Cult2	Espac4	NPk	3	10	810	17	15	70.8
Cult2	Espac4	NPk	4	7	570	11.6	14.6	51.6
Cult1	Espac1	0NPk	1	9.75	789	16.8	14.8	71.12
Cult1	Espac1	0NPk	2	10.75	867	14.6	16.6	75.36
Cult1	Espac1	0NPk	3	11.75	945	14.4	16.4	81.6
Cult1	Espac1	0NPk	4	12.5	1005	17	19	87.4
Cult2	Espac1	0NPk	1	14.5	1166	19.6	19.6	103.28
Cult2	Espac1	0NPk	2	12.75	1026	18.2	20.2	88.08
Cult2	Espac1	0NPk	3	15.75	1269	21.6	22.6	110.52
Cult2	Espac1	0NPk	4	8	645	15.4	12.4	58.6
Cult1	Espac2	0NPk	1	11.5	930	18.2	15.2	79.4
Cult1	Espac2	0NPk	2	12.25	987	17.8	17.8	88.96
Cult1	Espac2	0NPk	3	16.25	1309	23	20	112.72
Cult1	Espac2	0NPk	4	15.25	1226	19.2	20.2	108.08
Cult2	Espac2	0NPk	1	9.5	765	17.6	14.6	69.2
Cult2	Espac2	0NPk	2	12	967	16.6	14.6	83.36
Cult2	Espac2	0NPk	3	10	810	14	18	74.8
Cult2	Espac2	0NPk	4	7	567	12.6	13.6	53.36
Cult1	Espac3	0NPk	1	5	406	9	12	39.48
Cult1	Espac3	0NPk	2	5.75	468	10.6	11.6	44.44
Cult1	Espac3	0NPk	3	6.75	546	15.4	10.4	51.68
Cult1	Espac3	0NPk	4	9.75	789	17.8	17.8	71.12
Cult2	Espac3	0NPk	1	8.75	707	14	17	65.56
Cult2	Espac3	0NPk	2	11.75	949	19.4	19.4	84.92
Cult2	Espac3	0NPk	3	10.25	825	18.2	15.2	71
Cult2	Espac3	0NPk	4	12.75	1030	19.2	18.2	88.4
Cult1	Espac4	0NPk	1	5.5	450	14.4	10.4	43
Cult1	Espac4	0NPk	2	8.25	665	14.6	14.6	60.2
Cult1	Espac4	0NPk	3	8.5	688	16.8	14.8	64.04
Cult1	Espac4	0NPk	4	8	649	16.4	16.4	61.92
Cult2	Espac4	0NPk	1	9.25	749	17.4	14.4	64.92
Cult2	Espac4	0NPk	2	11.5	927	14.2	16.2	83.16
Cult2	Espac4	0NPk	3	13.75	1109	18	17	94.72
Cult2	Espac4	0NPk	4	15	1210	21	18	102.8
