Adsorvente	prof	rep	intox	alt	massa	ind
Carvao	5	1	10	32	160	18
Carvao	5	2	4	34	171	25
Carvao	5	3	6	25	111	20
Carvao	5	4	10	33	160	21
Lodo	5	1	6	26	136	24
Lodo	5	2	5	35	191	25
Lodo	5	3	2	32	134	23
Lodo	5	4	6	20	144	20
Silicato	5	1	3	39	146	18
Silicato	5	2	8	37	162	20
Silicato	5	3	5	30	144	20
Silicato	5	4	4	21	153	24
Carvao	10	1	10	28	116	18
Carvao	10	2	0	32	168	21
Carvao	10	3	3	39	138	25
Carvao	10	4	7	25	106	19
Lodo	10	1	1	36	116	21
Lodo	10	2	4	35	114	24
Lodo	10	3	8	30	126	23
Lodo	10	4	7	28	117	25
Silicato	10	1	5	30	165	23
Silicato	10	2	5	20	142	24
Silicato	10	3	9	35	184	22
Silicato	10	4	5	21	105	22
Carvao	15	1	10	34	175	15
Carvao	15	2	2	21	143	17
Carvao	15	3	5	20	113	16
Carvao	15	4	10	29	117	24
Lodo	15	1	6	37	126	22
Lodo	15	2	4	33	178	21
Lodo	15	3	5	35	132	15
Lodo	15	4	2	25	181	15
Silicato	15	1	2	37	156	24
Silicato	15	2	1	37	170	23
Silicato	15	3	3	38	111	21
Silicato	15	4	0	22	106	24
