Tratamento	Bloco	Alturaplanta	Diâmetrobase	Comprimentodafolha(cm)	Comprimentodolimbo(cm)	Comprimentodopecíolo(cm)	Diametropecíolo(base)
F11B3P2	1	94.17	28.46	32.82	21.64	11.18	14.27
F11B3P2	2	70.00	27.51	27.64	19.19	8.45	13.13
F11B3P2	3	64.00	32.20	32.42	20.75	11.67	13.76
F11B3P2	4	70.83	30.69	34.33	22.55	11.78	16.81
F11B3P4	1	92.33	32.88	32.27	22.70	9.57	17.13
F11B3P4	2	81.50	32.16	30.96	20.49	10.47	14.77
F11B3P4	3	70.17	31.92	31.72	22.41	9.32	16.42
F11B3P4	4	63.20	26.20	23.90	15.52	8.38	13.04
F12B1P1	1	70.80	29.58	31.06	25.17	5.89	14.32
F12B1P1	2	78.00	32.77	29.68	23.37	6.31	12.90
F12B1P1	3	68.83	33.52	36.33	29.61	6.35	18.05
F12B1P1	4	43.80	30.34	31.64	24.10	7.54	13.18
F12B1P2	1	76.00	24.31	35.13	24.49	10.64	14.49
F12B1P2	2	76.00	33.55	39.28	25.60	13.68	15.93
F12B1P2	3	49.17	32.08	28.12	21.89	6.20	14.29
F12B1P2	4	46.83	31.55	27.90	21.93	5.98	14.89
F12B1P5	1	77.80	29.95	34.48	23.16	11.33	17.34
F12B1P5	2	89.17	34.42	28.84	21.94	6.90	14.16
F12B1P5	3	50.83	33.64	34.47	25.57	8.90	20.26
F12B1P5	4	58.67	30.93	28.72	20.65	8.07	16.34
F12B2P2	1	96.25	27.16	30.10	21.75	8.35	15.44
F12B2P2	2	62.50	26.04	23.60	17.32	6.28	13.55
F12B2P2	3	63.17	31.11	32.85	23.67	8.80	17.65
F12B2P2	4	81.20	29.21	33.50	25.77	7.73	14.25
F12B2P3	1	83.00	31.51	31.43	25.10	6.33	15.38
F12B2P3	2	68.25	28.84	31.68	22.78	8.90	16.49
F12B2P3	3	51.17	36.94	34.08	26.39	7.69	17.60
F12B2P3	4	51.50	32.64	32.42	26.14	6.28	14.67
F12B2P4	1	89.17	29.90	32.49	16.99	15.50	14.85
F12B2P4	2	59.83	31.32	28.47	20.07	8.40	13.73
F12B2P4	3	52.17	34.67	33.98	26.95	7.03	19.70
F12B2P4	4	40.40	29.98	32.38	24.28	8.10	15.71
F12B3P1	1	67.50	33.74	31.36	23.59	7.77	15.12
F12B3P1	2	79.67	37.21	33.13	23.79	9.34	14.47
F12B3P1	3	51.83	29.40	29.10	22.18	6.92	14.48
F12B3P1	4	47.33	30.26	24.23	17.67	6.57	13.49
F12B4P3	1	72.50	28.96	31.68	22.35	9.33	14.11
F12B4P3	2	87.83	29.52	29.54	19.77	9.77	13.42
F12B4P3	3	46.60	26.21	26.00	19.36	6.64	15.01
F12B4P3	4	74.60	26.20	27.55	20.43	7.13	14.37
F14B1P1	1	91.33	29.97	34.36	25.53	8.84	14.53
F14B1P1	2	67.40	28.42	27.48	20.68	6.80	15.05
F14B1P1	3	60.83	35.74	33.55	26.33	7.40	18.67
F14B1P1	4	50.33	31.74	30.55	22.77	7.78	16.75
F14B1P5	1	78.50	34.10	31.62	22.40	9.22	18.50
F14B1P5	2	77.67	30.31	31.54	21.12	10.42	13.74
F14B1P5	3	72.17	29.87	27.83	19.10	8.73	15.13
F14B1P5	4	62.40	31.35	27.52	19.94	7.58	12.00
F14B2P3	1	95.50	30.01	29.35	20.20	9.15	13.90
F14B2P3	2	69.50	26.69	27.60	21.20	6.40	16.12
F14B2P3	3	69.00	31.11	34.38	25.44	8.95	15.93
F14B2P3	4	45.67	26.88	23.05	18.12	4.93	12.70
F14B3P2	1	83.50	33.77	34.30	24.50	9.80	16.12
F14B3P2	2	74.00	30.06	29.45	20.56	8.89	14.35
F14B3P2	3	59.67	34.34	35.82	26.42	9.40	16.26
F14B3P2	4	61.50	29.49	30.28	20.58	9.70	13.82
F14B4P1	1	109.83	28.99	30.63	22.96	7.68	15.01
F14B4P1	2	85.33	30.60	28.60	20.98	7.62	14.23
F14B4P1	3	74.17	32.78	32.32	23.90	8.42	16.21
F14B4P1	4	58.83	26.35	22.20	17.13	5.07	13.23
F14B4P3	1	74.00	28.56	33.88	24.88	9.00	15.88
F14B4P3	2	75.00	34.84	34.61	24.70	9.91	15.94
F14B4P3	3	62.75	33.69	33.36	24.53	9.28	18.80
F14B4P3	4	54.17	32.32	32.62	24.83	7.78	15.60
F14B4P4	1	73.20	27.43	29.72	22.85	6.88	12.93
F14B4P4	2	71.83	29.18	26.72	18.90	7.82	14.78
F14B4P4	3	44.60	33.18	35.58	26.07	9.50	17.94
F14B4P4	4	26.25	27.28	20.21	15.09	5.12	11.94
F17B1P5	1	77.40	28.17	25.78	19.24	6.54	14.22
F17B1P5	2	64.60	32.58	31.94	23.58	8.36	16.26
F17B1P5	3	60.83	28.54	27.80	20.03	7.44	14.99
F17B1P5	4	42.40	28.20	27.41	20.77	6.63	13.01
F18B3P2	1	73.83	31.49	32.87	25.54	7.34	17.49
F18B3P2	2	84.83	30.28	27.01	18.20	8.81	12.00
F18B3P2	3	60.83	29.08	26.16	18.35	7.67	14.33
F18B3P2	4	53.17	25.58	24.72	16.65	8.07	13.52
F18B3P3	1	67.17	29.01	25.33	18.67	6.66	13.71
F18B3P3	2	78.25	32.38	34.86	23.63	11.23	15.36
F18B3P3	3	56.83	29.77	34.85	24.11	10.74	17.00
F18B3P3	4	76.80	30.30	28.50	20.03	8.47	16.39
F21B3P4	1	83.50	30.28	31.28	20.97	10.32	17.46
F21B3P4	2	77.50	32.88	30.53	20.76	9.78	13.79
