1Contagem	Germ	SemAnormais	SemMortas	Retencao75	Retencao55	RetencaoFundo
87	91.5	2.711048847	1.618033989	16.19171319	4.933228938	1.728397839
86	94.5	2.277463232	1.492029696	16.34301388	6.626047652	1.103553391
84.5	95	2.212484518	1.366025404	15.96483504	5.019993954	1.103553391
86	94.5	2.220454822	1.366025404	16.22250124	6.217927147	1.103553391
89.5	91	3.103652062	1	16.4754983	6.903874073	1.743672874
82	86	3.089793401	2.331754432	16.61818918	8.003091625	1
87	92	2.529471817	1.59445053	16.52787232	7.286886896	1.103553391
82	88	3.322875656	1.309016994	16.94663753	5.948805098	1.207106781
86	91	2.813469681	1.59445053	16.38351765	6.966117213	1.286566092
90	92.5	2.460404813	1.309016994	16.34251556	6.254229672	1.640119483
