trat	rep	1Contagem	Germ	SemAnormais	SemMortas	Retencao75	Retencao55	RetencaoFundo
Trat1	1	82	90	3.31662479	1	16.4924225	5.567764363	1.732050808
Trat2	1	80	98	1.732050808	1.732050808	15.96871942	5	1.414213562
Trat3	1	66	96	2.236067977	1	16.2788206	4.898979486	1
Trat4	1	80	96	2.236067977	1	15.96871942	3.872983346	1.414213562
Trat5	1	86	92	3	1	16.55294536	11.53256259	2.828427125
Trat1	2	84	96	2.236067977	1	16.58312395	6.403124237	1
Trat2	2	86	94	2.645751311	1	16.55294536	4.69041576	1.414213562
Trat3	2	62	76	5	1	16.85229955	5.744562647	1.414213562
Trat4	2	82	94	2.645751311	1	16.0623784	8.062257748	1
Trat5	2	88	92	3	1	16.18641406	4.795831523	1.414213562
Trat1	3	92	92	2.236067977	2.236067977	16.40121947	4.582575695	1.732050808
Trat2	3	84	92	3	1	17	4.898979486	1
Trat3	3	100	92	2.645751311	1.732050808	15.45962483	4.795831523	1
Trat4	3	82	94	2.645751311	1	16.09347694	6.32455532	1
Trat5	3	94	94	2.645751311	1	16.1245155	6.92820323	1.414213562
Trat1	4	84	88	3	2.236067977	16.82260384	7.681145748	1
Trat2	4	84	86	3	2.645751311	16.09347694	9.949874371	1
Trat3	4	86	94	2.645751311	1	17.29161647	5.291502622	1
Trat4	4	92	92	2.645751311	1.732050808	16.18641406	7.874007874	1.732050808
Trat5	4	92	96	2.236067977	1	16.52271164	6.708203932	2
Trat1	5	86	94	2.645751311	1	15.77973384	5	1
Trat2	5	90	98	1.732050808	1	16.1245155	5.291502622	1
Trat3	5	90	96	2.236067977	1	15.8113883	5.385164807	1
Trat4	5	98	98	1	1.732050808	16.1245155	6.92820323	1
Trat5	5	94	94	2.645751311	1	16.79285562	4.795831523	1
Trat1	6	66	66	4.123105626	4.358898944	16.91153453	7.681145748	1
Trat2	6	92	96	2.236067977	1	16.88194302	6.633249581	1
Trat3	6	92	94	2.645751311	1	16.61324773	5.830951895	1
Trat4	6	86	88	2.645751311	2.645751311	16.4924225	6.92820323	1
Trat5	6	88	100	6.605551275	11	15.42724862	15.164414003	2.414213562
